ID,Edad,Tipo_Trabajo,Estado_Civil,Educacion,mora,Vivienda,Consumo,Contacto,Mes,Dia,Campana,Dias_Ultima_Camp,No_Contactos,Resultado_Anterior,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
21,39,vendedor ambulante,casado,bachillerato incompleto,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
24,59,tecnico,casado,unknown,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
25,49,empleado,casado,unknown,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
27,34,servicios,casado,bachillerato,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
28,52,tecnico,casado,bachillerato incompleto,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
29,41,administrador negocio,casado,pregrado,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
30,56,tecnico,casado,preescolar,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
31,32,emprendedor,casado,bachillerato,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
32,38,administrador negocio,single,Estudiante Universitario,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
33,57,administrador negocio,casado,pregrado,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
34,42,tecnico,single,Estudiante Universitario,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
35,57,administrador negocio,casado,pregrado,no,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
37,35,administrador negocio,casado,pregrado,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
38,45,empleado,casado,bachillerato incompleto,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
39,54,administrador negocio,casado,bachillerato,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
40,39,ama de casa,casado,preescolar,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
43,50,Vive de los arriendos,casado,pregrado,unknown,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
44,47,emprendedor,casado,pregrado,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
45,51,empleado,casado,bachillerato incompleto,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
46,48,administrador negocio,casado,bachillerato,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
47,44,empleado,single,bachillerato incompleto,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
48,33,administrador negocio,casado,unknown,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
49,56,administrador negocio,casado,bachillerato incompleto,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
50,44,empleado,soltero,preescolar,unknown,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
51,41,Vive de los arriendos,casado,primaria,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
54,37,administrador negocio,casado,pregrado,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
56,55,tecnico,casado,pregrado,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
57,33,servicios,casado,bachillerato,unknown,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
58,55,Vive de los arriendos,casado,unknown,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
59,42,empleado,casado,bachillerato incompleto,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
60,38,administrador negocio,casado,bachillerato,unknown,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
61,49,emprendedor,casado,pregrado,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1
64,49,tecnico,casado,bachillerato incompleto,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1
65,34,administrador negocio,casado,bachillerato,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
66,35,administrador negocio,casado,pregrado,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
67,60,administrador negocio,casado,unknown,unknown,no,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
68,42,empleado,casado,primaria,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
69,45,servicios,casado,Estudiante Universitario,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
70,42,Vive de los arriendos,casado,pregrado,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
71,53,administrador negocio,divorced,pregrado,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
72,37,tecnico,single,Estudiante Universitario,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
73,44,empleado,casado,primaria,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
74,54,servicios,casado,unknown,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
77,35,administrador negocio,casado,bachillerato,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
79,43,tecnico,casado,unknown,unknown,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
80,58,desempleado,casado,preescolar,unknown,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
81,35,servicios,divorced,bachillerato,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
82,55,empleado,casado,bachillerato incompleto,unknown,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
83,37,Vive de los arriendos,casado,pregrado,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
84,36,empleado,casado,bachillerato,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
86,57,empleado,divorced,unknown,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
88,40,empleado,casado,bachillerato,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
89,41,servicios,casado,bachillerato,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
90,42,administrador negocio,casado,pregrado,no,no,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
95,41,tecnico,casado,Estudiante Universitario,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
98,52,Vive de los arriendos,casado,pregrado,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
100,39,ama de casa,casado,preescolar,unknown,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
101,56,empleado,casado,preescolar,unknown,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
102,34,servicios,casado,bachillerato,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
105,56,Vive de los arriendos,casado,unknown,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
106,39,Vive de los arriendos,casado,pregrado,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
107,53,empleado,casado,preescolar,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
108,38,unknown,divorced,bachillerato,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
110,42,empleado,casado,preescolar,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
111,35,administrador negocio,single,bachillerato,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
112,40,administrador negocio,casado,pregrado,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
113,51,empleado,casado,preescolar,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
114,60,empleado,casado,bachillerato incompleto,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
116,39,servicios,divorced,bachillerato,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
118,51,empleado,casado,unknown,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
120,43,tecnico,single,Estudiante Universitario,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
122,24,Vive de los arriendos,single,pregrado,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
123,40,empleado,casado,bachillerato incompleto,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
124,42,empleado,casado,bachillerato incompleto,unknown,no,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
125,39,servicios,divorced,bachillerato,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
129,54,Vive de los arriendos,divorced,pregrado,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
130,43,empleado,casado,bachillerato,unknown,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
133,43,servicios,casado,bachillerato,no,no,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
135,44,servicios,casado,bachillerato,no,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
138,37,empleado,casado,bachillerato incompleto,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
139,46,empleado,casado,primaria,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
140,42,empleado,casado,bachillerato incompleto,no,si,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,1
141,36,administrador negocio,casado,pregrado,no,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
142,54,empleado,casado,preescolar,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
144,51,tecnico,casado,primaria,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
145,54,pensionado,casado,bachillerato,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
146,49,empleado,casado,preescolar,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
147,34,administrador negocio,casado,pregrado,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
148,38,empleado,single,bachillerato incompleto,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
150,42,tecnico,casado,pregrado,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
151,34,empleado,single,bachillerato incompleto,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
154,43,empleado,casado,primaria,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
155,33,servicios,casado,bachillerato,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
156,32,servicios,single,primaria,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
157,43,administrador negocio,casado,unknown,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
158,44,empleado,casado,bachillerato incompleto,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
160,35,desempleado,casado,Estudiante Universitario,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
161,36,servicios,soltero,preescolar,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
165,39,empleado,casado,Estudiante Universitario,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
166,39,ama de casa,casado,preescolar,unknown,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
167,30,empleado,single,unknown,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
168,30,empleado,single,unknown,no,si,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
170,35,administrador negocio,casado,bachillerato,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
173,40,tecnico,casado,bachillerato incompleto,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
177,39,administrador negocio,casado,Estudiante Universitario,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
178,50,servicios,divorced,Estudiante Universitario,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
180,39,administrador negocio,casado,bachillerato,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
181,52,vendedor ambulante,casado,pregrado,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
182,44,administrador negocio,casado,Estudiante Universitario,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
184,48,administrador negocio,casado,bachillerato,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
186,57,pensionado,casado,bachillerato,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
187,36,tecnico,single,Estudiante Universitario,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
192,36,empleado,single,bachillerato,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
194,40,tecnico,divorced,Estudiante Universitario,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
195,41,empleado,casado,preescolar,no,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
197,36,tecnico,casado,Estudiante Universitario,no,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
198,28,servicios,casado,unknown,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
199,53,servicios,casado,bachillerato,no,si,si,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
201,33,administrador negocio,casado,bachillerato,no,no,si,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
203,27,empleado,single,primaria,no,unknown,unknown,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
204,42,tecnico,casado,bachillerato,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
205,43,administrador negocio,divorced,bachillerato incompleto,no,no,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
207,27,empleado,single,primaria,no,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
209,31,estudiante,single,pregrado,unknown,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
210,54,Vive de los arriendos,divorced,pregrado,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
212,52,desempleado,casado,bachillerato,unknown,si,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
213,47,Vive de los arriendos,divorced,pregrado,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
214,49,ama de casa,casado,bachillerato incompleto,unknown,no,no,telefono fijo,may,mon,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
215,32,administrador negocio,single,bachillerato,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
216,49,ama de casa,single,bachillerato,unknown,si,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
219,56,tecnico,casado,preescolar,no,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
221,42,empleado,divorced,bachillerato incompleto,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
222,44,empleado,divorced,primaria,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
225,60,empleado,casado,unknown,unknown,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
226,36,servicios,casado,bachillerato,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
227,31,administrador negocio,casado,bachillerato,no,si,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
228,53,tecnico,divorced,Estudiante Universitario,unknown,no,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
229,45,empleado,casado,preescolar,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
230,37,tecnico,single,Estudiante Universitario,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
231,47,vendedor ambulante,casado,Estudiante Universitario,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
232,49,empleado,divorced,bachillerato,no,no,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
234,35,servicios,divorced,bachillerato,no,no,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
235,38,unknown,casado,unknown,unknown,no,no,telefono fijo,may,mon,4,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
237,42,administrador negocio,casado,bachillerato,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
238,40,administrador negocio,casado,primaria,unknown,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
239,46,empleado,casado,unknown,unknown,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
240,57,ama de casa,divorciado,preescolar,no,si,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
241,42,administrador negocio,casado,pregrado,no,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
242,41,empleado,casado,preescolar,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
243,54,Vive de los arriendos,divorced,pregrado,no,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
247,34,administrador negocio,single,bachillerato incompleto,unknown,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
248,56,pensionado,casado,primaria,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
249,43,servicios,casado,bachillerato,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
250,54,Vive de los arriendos,single,bachillerato incompleto,no,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
251,53,administrador negocio,single,primaria,no,si,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
252,42,tecnico,single,unknown,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
253,40,servicios,casado,primaria,unknown,no,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
254,54,tecnico,casado,Estudiante Universitario,no,si,si,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
255,40,ama de casa,single,Estudiante Universitario,no,no,no,telefono fijo,may,mon,4,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
256,33,administrador negocio,casado,bachillerato,no,no,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
257,35,empleado,casado,bachillerato incompleto,unknown,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
258,29,servicios,single,bachillerato,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
259,36,empleado,casado,bachillerato incompleto,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
260,35,Vive de los arriendos,casado,bachillerato,no,si,no,telefono fijo,may,mon,5,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
261,50,vendedor ambulante,single,pregrado,no,no,si,telefono fijo,may,mon,5,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
262,46,servicios,casado,bachillerato,unknown,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
265,36,empleado,single,bachillerato,no,si,si,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
266,57,Vive de los arriendos,casado,Estudiante Universitario,unknown,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
269,58,empleado,divorciado,preescolar,no,si,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
272,41,empleado,single,bachillerato incompleto,unknown,si,no,telefono fijo,may,mon,4,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
274,57,empleado,casado,preescolar,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
277,38,servicios,casado,bachillerato,no,si,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
279,32,empleado,casado,bachillerato incompleto,no,no,no,telefono fijo,may,mon,2,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
280,33,servicios,casado,preescolar,no,no,no,telefono fijo,may,mon,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
281,40,desempleado,divorced,bachillerato,unknown,no,no,telefono fijo,may,tue,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
283,45,tecnico,casado,bachillerato,no,si,no,telefono fijo,may,tue,3,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
285,46,administrador negocio,casado,pregrado,no,si,no,telefono fijo,may,tue,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
286,41,vendedor ambulante,casado,bachillerato,no,si,no,telefono fijo,may,tue,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
287,49,empleado,casado,bachillerato incompleto,unknown,si,no,telefono fijo,may,tue,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
289,37,empleado,casado,bachillerato incompleto,no,no,si,telefono fijo,may,tue,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
290,46,administrador negocio,single,bachillerato,no,si,no,telefono fijo,may,tue,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
291,22,empleado,single,bachillerato incompleto,no,si,no,telefono fijo,may,tue,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
292,43,servicios,casado,bachillerato,no,no,no,telefono fijo,may,tue,1,999,0,sin contacto,1.1,93994,-36.4,4857,5191,0
